PROS10448-1115149-Tumor-SM-5EEBJ,,,,,,,,,,,,
CRPC,,,,,,,,,,,,
Iliac Crest,,,,,,,,,,,,
,ATP6AP1,Xq28,AMP,4.70%,,,,,,,,
,CARD14,17q25,AMP,2.40%,,,,,,,,
,CCDC40,17q25.3,AMP,1.80%,,,,,,,,
,CT47A1,Xq24,AMP,6.50%,,,,,,,,
,CT47A10,Xq24,AMP,6.50%,,,,,,,,
,CT47A11,Xq24,AMP,6.50%,,,,,,,,
,CT47A12,Xq24,AMP,6.50%,,,,,,,,
,CT47A2,Xq24,AMP,6.50%,,,,,,,,
,CT47A3,Xq24,AMP,6.50%,,,,,,,,
,CT47A4,Xq24,AMP,6.50%,,,,,,,,
,CT47A5,Xq24,AMP,6.50%,,,,,,,,
,CT47A6,Xq24,AMP,6.50%,,,,,,,,
,CT47A7,Xq24,AMP,6.50%,,,,,,,,
,CT47A8,Xq24,AMP,6.50%,,,,,,,,
,CT47A9,Xq24,AMP,6.50%,,,,,,,,
,DNASE1L1,Xq28,AMP,4.10%,,,,,,,,
,EIF4A3,17q25.3,AMP,1.80%,,,,,,,,
,EMD,Xq28,AMP,4.70%,,,,,,,,
,FLNA,Xq28,AMP,4.70%,,,,,,,,
,GAA,17q25.2-q25.3,AMP,2.40%,,,,,,,,
,GAGE12B,Xp11.23,HOMDEL,1.80%,,,,,,,,
,GAGE12C,Xp11.23,HOMDEL,1.80%,,,,,,,,
,GAGE12D,Xp11.23,HOMDEL,1.80%,,,,,,,,
,GAGE12E,Xp11.23,HOMDEL,1.80%,,,,,,,,
,GAGE12G,Xp11.23,HOMDEL,1.80%,,,,,,,,
,GAGE12H,Xp11.23,HOMDEL,1.80%,,,,,,,,
,GAGE6,Xp11.4-p11.2,HOMDEL,1.80%,,,,,,,,
,KDM6B,17p13.1,AMP,2.40%,,,,,,,,
,NAA38,17p13.1,AMP,2.40%,,,,,,,,
,OPN1LW,Xq28,AMP,4.10%,,,,,,,,
,OPN1MW,Xq28,AMP,4.10%,,,,,,,,
,OPN1MW2,Xq28,AMP,4.10%,,,,,,,,
,RPL10,Xq28,AMP,4.10%,,,,,,,,
,SGSH,17q25.3,AMP,2.40%,,,,,,,,
,SLC26A11,17q25.3,AMP,1.80%,,,,,,,,
,SNORA70,Xq28,AMP,4.10%,,,,,,,,
,TAZ,Xq28,AMP,4.70%,,,,,,,,
,TEX28,Xq28,AMP,4.10%,,,,,,,,
,TKTL1,Xq28,AMP,4.10%,,,,,,,,
,TMEM88,17p13.1,AMP,2.40%,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
